text,label,target
@_sarahjessiee @Khalil_Perry fuck that dumb ass nigger @TreySongz,Ethnicity,1
#RBDC is dumb wack i only fuck with them jungle niggers cause ima jungle bitch u could find me with the trees..lmaooo 8),Ethnicity,1
"if anything is already a relic of the past then it isn't just to be picked apart. taking things at it's ultimate value and being acquainted with the textures and the seams is just as important as black magic. the past, present and future are all one.",Ethnicity,1
@troutish @YesYoureRacist @guppy4522 Sand nigger? From Chechnya.. hahahahahahahahahahahahah! What a dumb fuck.,Ethnicity,1
"Bitch ill spit on you RT @Ms_Candii: BABYGIRL U MAD?? “@tayyoung_: FUCK OBAMA, dumb ass nigger”",Ethnicity,1
"@_ItsMik3y @JvstinPerry @Pisces_Geek You two are ignorant dumb fucks. he didn't call anyone a nigger, its movie names with nigga.",Ethnicity,1
WHOA!!!! Where the fuck did a future argument come in? Y'all niggers are dumb and just want to argue for the sake of argument,Ethnicity,1
"niggers are those who are igrant dumb fucks, who belive the are smart, when really they're doing the chasing [eg, drunk rat towards my rite]",Ethnicity,1
"Damn you mad bro? RT @tayyoung_: FUCK OBAMA, dumb ass nigger",Ethnicity,1
"There's a negro in a smart suit with a beautiful White woman whose hand is caressing his chest, This is the promo shot of a series called 'Power' New releases: 'Who Killed Malcolm X ?'...",Ethnicity,1
lmaooooooo fuck u nigger ... u hoopin tho RT @MrStJohnsGreat: @Tonesmooth call me dumb again u Latin fuck,Ethnicity,1
"N niggas wanna ask why i don't fuck wit people, yah dumb ass niggers don't know how to act!!",Ethnicity,1
@MasterMoyer YOU DUMB ASS NIGGER FUCK YOU GET A FUCKING LIFE BANN ME PUSSY,Ethnicity,1
"FOUR MORE YEARS! RT @tayyoung_ FUCK OBAMA, dumb ass nigger",Ethnicity,1
@LizardPatrol FUCK YOU DUMB IDIOT FAGGOT I CANT UPLOAD STUPID CUNT NIGGER IDIOTS FUCK OFF,Ethnicity,1
@ProDrewALI your a nigger to you dumb fuck?,Ethnicity,1
U madRT @kellyray051224: Ok i get it.... Richard Sherman is a dmb fucking nigger fuck alll yall go white guys fuck this dumb nigger,Ethnicity,1
"You mad? *shrugs* #2Termssssss “@tayyoung_: FUCK OBAMA, dumb ass nigger”",Ethnicity,1
Irish immigrants were called the white negro,Ethnicity,1
"Them but have had him though Me: does it look like I give a fuck?! Is that why y'all stalking and copying me dumb fools, take that gossip shit somewhere else real bitch like myself don't gossip I get shit done y'all should ask your niggers out there.",Ethnicity,1
