text,label,target
"If you call yourself a Christian yet you support this bill and the man pushing for it, you should be ashamed of yourself! Jesus Christ himself was radical during his time. And if he were here present today, he will be crucified again under this proposed law. #JUNKTERRORBILLNOW",Religion,5
"Today's front page of the New York Times. A full on assault on YouTubers. Story claims videos are ""radicalizing people"" on the right. Their evidence...the guy featured in the story started dating a Christian woman and supported traditional gender roles. oh no!!!!!!!!",Religion,5
That Christian woman did the right thing,Religion,5
Your porkistani got seperated from India on the basis of your Islamic terrorism activities. Then how u expect porkistanis and Bangladeshis accept Bharat council again.,Religion,5
@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.,Religion,5
"This is horrific slander, such wickedness! Nancy Pelosi is a Christian woman; the right doctored video to make it seem like she slurred her speech. You perpetuate this? I pray you will ask God's forgiveness for bearing false witness against your neighbor!",Religion,5
Quran also says if you kill an innocent human being (not just muslim) it is as if he killed the entire humanity. Please stop your misinterpretion of quran . Islam is the religion pf peace. Don't look at ISIS and other terrorist org. They are not islamic.,Religion,5
"@DailyMirror Peaceful BLM ""Radical"" Marxists, who broke thru a locked gate and theatened to kill them and destroy their property? That's why the American Revolution happened against you British class ass idiots! Now go deal with your Muslim invasion you are having there.",Religion,5
"Ask them. By the way Muslims are most affected, most tortured most insulted cz of these idiots. They are muslims for you. For a true Muslim, these idiots are not human beings atall. Islam doesn't teach us to kill anyone.",Religion,5
"Was just about to send you the Muslim Ray gun idiot, but then realised you'd posted it, pure good that.",Religion,5
"Save a Life, Save All Humanity--Take a Life, Kill All Humanity. with respect please stop talking nonsense. first they are not the messenger of God it's sin to say that.second they don't do jihad killing innocents are not jihad. they are terrorists wild animals. &amp; US are the same",Religion,5
Muslims ain't Terrorist but b`cos of an opening (Jihad).They misinterpret this act for violence on humanity.Jihad deals with inner struggle.,Religion,5
Phillip both dogs we're very good dogs and you could stroke them they loved children but that day that idiot turned up and what got me so annoyed he once on a public forum said i protected paedophile Muslims WTF! I set the dogs on the twat and deserved,Religion,5
"The radical fringe Christians will stay with him because they want the tax breaks &amp; freedom to preach garbage to the Am. public. He’s lost a lot of the more trad. Catholics, although those whom support him try to out Catholic those whom oppose him. The man is the Anti-Christ.",Religion,5
I'm sorry you were told that. I helped a Christian woman leave her abusive husband. It's not wrong or sinful. It's the right and best thing to do.,Religion,5
"Ok first of all check my posts I do not support trump idiot. Second ""conservative"" is a general term beyond gop politics. If you don't think there's any Muslim conservatives I suggest you broaden your world. And btw I'm not saying Ali would have def. supported trump I don't know",Religion,5
"Tuskegee experiments are no more you idiot, not to mention when the public found out there was an outrage. “ICE concentration camps” are you serious? Wow...ICE is comparable to CPP killing Muslims in real camps...wow",Religion,5
"you’re own morals are subjective as well don't be an idiot, even atheists acknowledge without God there's no objective morals. you're trying to project your own illness onto Muslims, which is just desperation ... try harder and stop lying. Murtaddeen DO support bestiality",Religion,5
It does. That's y we have Radical Islamic terrorism and love jihad in this country filled with ppl like u jo charas ganja fook ke ajate hain Twitter pe,Religion,5
Who believe in #Jahuriyat r our Kahmiri brothers-sisters but those who r backed by #ISI #PakistanArmy waging Jihad r jus #Terrorist V r up against these Jihadist who hav no humanity left For dat #TerrorStatePakistan shud b wiped out #Balochistan shud b free Need #FinalStrike,Religion,5
"and highest number of mosques r.See the Haj houses in India u will not find a matching 5star hotel in Pakistan but still we r islamophobic.Islamophobia awa radical Islamic terrorism both terms are coined by the west so bark on them,they will give u the right medication.",Religion,5
Man it really takes a while to report all the idiots on this thread being hateful. Disgraceful behavior and hopefully twitter bans you hateful islamaphobes. A happy Ramadan to our Muslim brothers and sisters. Sorry for the hate of some,Religion,5
"You have NO TRUTH IN YOU! The Radical Trumpian NOT right is WRONG! Not Christian...you Repulsivecans support Lies, Deception, FRAUDULENCE &amp; Delusion,. It's the NEW NORMAL for you. And, NO, Jesus would not and DOES NOT support Trump! Proof? The NEW TESTAMENT!",Religion,5
"#Quetta Ind mai attack ho to jihad, Pak mai ho to humanity kai dhusman Double standard nahi chalaga Terrorist is terrorist",Religion,5
Lmfao what are you talking about??? Who said I didn’t care about Muslims. Idiot.,Religion,5
Islamic State says U.S. 'being run by an idiot' https://t.co/hjne8NKBT7 we'll see who the idiots end up being,Religion,5
"Yes, he welcomed Islamic terrorists to our white house, and refused to honor the Israeli prime minister, our ally, to the white house...and he declared himself a muslim, bowed to an arab emigrant, sworn in on the quran, gave 1.7 to Irann, supported Isis...",Religion,5
Why don't u speak on islamic terrorism,Religion,5
Anyway you agreed that it was a church before mosque. Very good. So you idiot don't know the fact that the Muslims invaded Andalusia and persecuted Christians there. The Islamic fascist rulers pulled many tactics to remove Christians from Cordoba.,Religion,5
"And let us not be weary in well doing: for in due season we shall reap, if we faint not. #Weary #Tired #Discouraged #Right #Harvest #Season #Reap #Blessing #Faint #Quit #Due #Truth #Trust #Lord #Hope #LifeCoach #Christian #Woman #Empowerment #Specialist #ThatSettlesIt",Religion,5
“Woke Christians” that are all too eager to jump on every PC bandwagon to support these radical culture movements and flood their social media with bible verses to back it up are the worst. Sorry but it’s true.,Religion,5
@DawlatnaMansura He says while immersed in Kufiri invented and built devices.,Religion,5
@ImranKhanPTI idiot what happened to the human rights of these people. You have no humanity for non Muslims.,Religion,5
1) Babar was invader who killed million of Hindus & demolished ram temple 2)The Godhra Train Burning 3)Tahhir Hussain MC All above u mentioned is because of peaceful community.stop support ing radical islamic terrorism,Religion,5
"@palmeye @Rudd1971 Since 90% of Muslim civilians are killed by Muslim terrorists, you Avatar is just propaganda.",Religion,5
If you are talking about your situation being pussy in front of America then I am sorry for you .what you can do is make Muslim nation strong then tell America let’s talk .atleast raise your voice grow up while you are young idiot.,Religion,5
"If you all idiots start raising your voice and unite for the right thing, this country may become a better place for everyone. But, No, You are brainwashed to feel Nationalist if you do Chinese or Hindu Muslim.",Religion,5
"You are mad. Lol Savarkar never coined that If he would have then India would be 100% non Muslims. And never allowed them to take Kashmir First get the facts British &amp; Jinnah did it. Nehru was a scapegoat idiot, used &amp; thrown",Religion,5
"Muslims are absolute pseudo secular & radical but they r all weather supporters of their community. Hindus are pseudo secular too but here they will go all out to support other communities esp the ""Makkaar""muslims &amp; Christians.Ex no Hindu came out in protest for Kashmir Hindu .",Religion,5
"ISIS terrorists who are killing people all over the world are just fighting a holy war against the kufr prescribed by the holy quran. You are not a Muslim bro, you are just a good human being. In reality those terrorists are the ones who follow Islam truthfully.",Religion,5
"JIHADI alert , your end is around the corner, end of Islamic Terrorism in INDIA and HALALA for u.",Religion,5
"Mate..can u please explain me , what is Jihad? n why Terrorist used it? Literally what I feel..it's against the Humanity.",Religion,5
